Log file created at: 2024/05/11 11:52:40
Running on machine: YBW
Running duration (h:mm:ss): 0:00:00
Log line format: [IWEF]yyyymmdd hh:mm:ss.uuuuuu threadid file:line] msg
I20240511 11:52:40.162830  1324 core_module.cc:20] registering core components.
I20240511 11:52:40.163828  1324 registry.cc:14] registering component: config_builder
I20240511 11:52:40.163828  1324 registry.cc:14] registering component: config
I20240511 11:52:40.163828  1324 registry.cc:14] registering component: schema
I20240511 11:52:40.163828  1324 registry.cc:14] registering component: user_config
I20240511 11:52:40.163828  1324 dict_module.cc:25] registering components from module 'dict'.
I20240511 11:52:40.163828  1324 registry.cc:14] registering component: tabledb
I20240511 11:52:40.163828  1324 registry.cc:14] registering component: stabledb
I20240511 11:52:40.163828  1324 registry.cc:14] registering component: plain_userdb
I20240511 11:52:40.163828  1324 registry.cc:14] registering component: userdb
I20240511 11:52:40.163828  1324 registry.cc:14] registering component: corrector
I20240511 11:52:40.163828  1324 registry.cc:14] registering component: dictionary
I20240511 11:52:40.163828  1324 registry.cc:14] registering component: reverse_lookup_dictionary
I20240511 11:52:40.163828  1324 registry.cc:14] registering component: user_dictionary
I20240511 11:52:40.164825  1324 registry.cc:14] registering component: userdb_recovery_task
I20240511 11:52:40.164825  1324 levers_module.cc:22] registering components from module 'levers'.
I20240511 11:52:40.164825  1324 registry.cc:14] registering component: detect_modifications
I20240511 11:52:40.164825  1324 registry.cc:14] registering component: installation_update
I20240511 11:52:40.164825  1324 registry.cc:14] registering component: workspace_update
I20240511 11:52:40.164825  1324 registry.cc:14] registering component: schema_update
I20240511 11:52:40.164825  1324 registry.cc:14] registering component: config_file_update
I20240511 11:52:40.164825  1324 registry.cc:14] registering component: prebuild_all_schemas
I20240511 11:52:40.164825  1324 registry.cc:14] registering component: user_dict_upgrade
I20240511 11:52:40.164825  1324 registry.cc:14] registering component: cleanup_trash
I20240511 11:52:40.164825  1324 registry.cc:14] registering component: user_dict_sync
I20240511 11:52:40.164825  1324 registry.cc:14] registering component: backup_config_files
I20240511 11:52:40.164825  1324 registry.cc:14] registering component: clean_old_log_files
I20240511 11:52:40.164825  1324 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\default.custom.yaml'.
I20240511 11:52:40.165822  1324 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\weasel.custom.yaml'.
I20240511 11:52:40.697592  1324 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\default.yaml'.
I20240511 11:52:40.699585  1324 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\default.custom.yaml'.
I20240511 11:52:40.700583  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\092R.schema.yaml'.
I20240511 11:52:40.701581  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\bopomofo.schema.yaml'.
I20240511 11:52:40.703575  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\bopomofo_express.schema.yaml'.
I20240511 11:52:40.703575  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\bopomofo_tw.schema.yaml'.
I20240511 11:52:40.704572  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\cangjie5.schema.yaml'.
I20240511 11:52:40.704572  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\cangjie5_express.schema.yaml'.
I20240511 11:52:40.705569  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\luna_pinyin.schema.yaml'.
I20240511 11:52:40.706568  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\luna_pinyin_fluency.schema.yaml'.
I20240511 11:52:40.706568  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\luna_pinyin_simp.schema.yaml'.
I20240511 11:52:40.707566  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\luna_pinyin_tw.schema.yaml'.
I20240511 11:52:40.707566  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\luna_quanpin.schema.yaml'.
I20240511 11:52:40.708562  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\pinyin_simp.schema.yaml'.
I20240511 11:52:40.708562  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\stroke.schema.yaml'.
I20240511 11:52:40.709559  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\stzm.schema.yaml'.
I20240511 11:52:40.712550  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\terra_pinyin.schema.yaml'.
I20240511 11:52:40.714545  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\wubi86.schema.yaml'.
I20240511 11:52:40.715543  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\wubi986.schema.yaml'.
I20240511 11:52:40.716539  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\wubi_pinyin.schema.yaml'.
I20240511 11:52:40.717537  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\wubi_trad.schema.yaml'.
I20240511 11:52:40.719532  1324 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\double_pinyin_flypy.schema.yaml'.
I20240511 11:52:40.722523  1324 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\melt_eng.schema.yaml'.
I20240511 11:52:40.724519  1324 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\radical_pinyin.schema.yaml'.
I20240511 11:52:40.726513  1324 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\weasel.yaml'.
I20240511 11:52:40.731500  1324 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\weasel.custom.yaml'.
I20240511 11:52:51.948977  1324 deployment_tasks.cc:85] updating rime installation info.
I20240511 11:52:51.948977  1324 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\installation.yaml'.
I20240511 11:52:51.948977  1324 deployment_tasks.cc:103] installation info exists. installation id: 2f2594ca-3d2a-4e7d-a7e6-2dcf30c4fd38
I20240511 11:52:51.948977  1324 deployment_tasks.cc:114] sync dir: D:\Personal\OneDrive\Programm\Rime\sync
I20240511 11:52:51.948977  1324 deployment_tasks.cc:116] previous distribution: Weasel
I20240511 11:52:51.948977  1324 deployment_tasks.cc:119] previous distribution version: 0.15.1.0
I20240511 11:52:51.948977  1324 deployment_tasks.cc:122] previous Rime version: 1.11.0
I20240511 11:52:51.948977  1324 deployment_tasks.cc:165] updating workspace.
I20240511 11:52:51.948977  1324 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\default.yaml'.
I20240511 11:52:51.949975  1324 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\default.yaml'.
I20240511 11:52:51.952968  1324 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\default.yaml'.
I20240511 11:52:51.954962  1324 deployment_tasks.cc:421] source file changed: D:\Personal\OneDrive\Programm\Rime\default.yaml
I20240511 11:52:51.955960  1324 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\default.yaml'.
I20240511 11:52:51.957953  1324 auto_patch_config_plugin.cc:29] auto-patch default:/__patch: default.custom:/patch?
I20240511 11:52:51.958951  1324 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\default.custom.yaml'.
I20240511 11:52:51.958951  1324 config_compiler.cc:214] patching key_binder/bindings/+
I20240511 11:52:51.958951  1324 config_compiler.cc:214] patching menu
I20240511 11:52:51.958951  1324 config_compiler.cc:214] patching schema_list
I20240511 11:52:51.958951  1324 config_compiler.cc:537] resolved: Patch(default.custom:patch <optional>)
I20240511 11:52:51.958951  1324 config_data.cc:91] saving config file 'D:\Personal\OneDrive\Programm\Rime\build\default.yaml'.
I20240511 11:52:51.965179  1324 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\default.yaml'.
I20240511 11:52:51.967173  1324 deployment_tasks.cc:188] updating schemas.
I20240511 11:52:51.967173  1324 deployment_tasks.cc:197] schema: double_pinyin_flypy
I20240511 11:52:51.967173  1324 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\double_pinyin_flypy.schema.yaml'.
