Log file created at: 2024/05/11 12:20:00
Running on machine: YBW
Running duration (h:mm:ss): 0:00:00
Log line format: [IWEF]yyyymmdd hh:mm:ss.uuuuuu threadid file:line] msg
I20240511 12:20:00.247011  6304 core_module.cc:20] registering core components.
I20240511 12:20:00.311353  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\double_pinyin_flypy.schema.yaml'.
I20240511 12:20:00.316342  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\double_pinyin_flypy.schema.yaml'.
I20240511 12:20:00.345813  6304 deployment_tasks.cc:421] source file changed: D:\Personal\OneDrive\Programm\Rime\default.custom.yaml
I20240511 12:20:00.346810  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\double_pinyin_flypy.schema.yaml'.
I20240511 12:20:00.367754  6304 auto_patch_config_plugin.cc:29] auto-patch double_pinyin_flypy.schema:/__patch: double_pinyin_flypy.custom:/patch?
I20240511 12:20:00.367754  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\default.yaml'.
I20240511 12:20:00.371743  6304 auto_patch_config_plugin.cc:29] auto-patch default:/__patch: default.custom:/patch?
I20240511 12:20:00.371743  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\default.custom.yaml'.
I20240511 12:20:00.371743  6304 config_compiler.cc:214] patching key_binder/bindings/+
I20240511 12:20:00.371743  6304 config_compiler.cc:214] patching menu
I20240511 12:20:00.372740  6304 config_compiler.cc:214] patching schema_list
I20240511 12:20:00.372740  6304 config_compiler.cc:537] resolved: Patch(default.custom:patch <optional>)
I20240511 12:20:00.372740  6304 config_compiler.cc:537] resolved: Include(default:/punctuator/full_shape)
I20240511 12:20:00.372740  6304 config_compiler.cc:537] resolved: PendingChild(double_pinyin_flypy.schema:/punctuator/full_shape)
I20240511 12:20:00.372740  6304 config_compiler.cc:537] resolved: Include(default:/punctuator/half_shape)
I20240511 12:20:00.372740  6304 config_compiler.cc:537] resolved: PendingChild(double_pinyin_flypy.schema:/punctuator/half_shape)
I20240511 12:20:00.372740  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\symbols_caps_v.yaml'.
I20240511 12:20:00.420612  6304 auto_patch_config_plugin.cc:29] auto-patch symbols_caps_v:/__patch: symbols_caps_v.custom:/patch?
W20240511 12:20:00.420612  6304 config_data.cc:69] nonexistent config file 'D:\Personal\OneDrive\Programm\Rime\symbols_caps_v.custom.yaml'.
I20240511 12:20:00.421954  6304 config_compiler.cc:426] optional resource not loaded: symbols_caps_v.custom
I20240511 12:20:00.421954  6304 config_compiler.cc:537] resolved: Patch(symbols_caps_v.custom:patch <optional>)
I20240511 12:20:00.421954  6304 config_compiler.cc:537] resolved: Include(symbols_caps_v:/symbols)
I20240511 12:20:00.421954  6304 config_compiler.cc:537] resolved: PendingChild(double_pinyin_flypy.schema:/punctuator/symbols)
I20240511 12:20:00.421954  6304 config_compiler.cc:537] resolved: PendingChild(double_pinyin_flypy.schema:/punctuator)
I20240511 12:20:00.421954  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\double_pinyin_flypy.custom.yaml'.
I20240511 12:20:00.422459  6304 config_compiler.cc:214] patching engine/filters/@before last
I20240511 12:20:00.422459  6304 config_compiler.cc:214] patching key_binder/+
I20240511 12:20:00.422459  6304 config_compiler.cc:214] patching radical_lookup/prefix
I20240511 12:20:00.422459  6304 config_compiler.cc:214] patching radical_lookup/tips
I20240511 12:20:00.422459  6304 config_compiler.cc:214] patching recognizer/patterns/radical_lookup
I20240511 12:20:00.422459  6304 config_compiler.cc:214] patching speller/alphabet
I20240511 12:20:00.422459  6304 config_compiler.cc:214] patching speller/initials
I20240511 12:20:00.422459  6304 config_compiler.cc:214] patching switches
I20240511 12:20:00.422459  6304 config_compiler.cc:214] patching translator/preedit_format
I20240511 12:20:00.422459  6304 config_compiler.cc:537] resolved: Patch(double_pinyin_flypy.custom:patch <optional>)
I20240511 12:20:00.422459  6304 legacy_preset_config_plugin.cc:26] interpreting key_binder/import_preset: default
I20240511 12:20:00.422459  6304 legacy_preset_config_plugin.cc:65] interpreting recognizer/import_preset: default
I20240511 12:20:00.423460  6304 build_info_plugin.cc:27] resource 'symbols_caps_v.custom' not loaded.
I20240511 12:20:00.423460  6304 config_data.cc:91] saving config file 'D:\Personal\OneDrive\Programm\Rime\build\double_pinyin_flypy.schema.yaml'.
I20240511 12:20:00.434760  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\double_pinyin_flypy.schema.yaml'.
I20240511 12:20:00.464372  6304 deployment_tasks.cc:360] preparing dictionary 'rime_ice'.
I20240511 12:20:00.464883  6304 dict_compiler.cc:81] compiling dictionary for D:\Personal\OneDrive\Programm\Rime\build\double_pinyin_flypy.schema.yaml
I20240511 12:20:01.247743  6304 table.cc:254] loading table file: D:\Personal\OneDrive\Programm\Rime\build\rime_ice.table.bin
I20240511 12:20:01.266773  6304 prism.cc:76] loading prism file: D:\Personal\OneDrive\Programm\Rime\build\double_pinyin_flypy.prism.bin
I20240511 12:20:01.266773  6304 prism.cc:106] found double array image of size 1024.
I20240511 12:20:01.266773  6304 dict_compiler.cc:126] D:\Personal\OneDrive\Programm\Rime\rime_ice.dict.yaml[6 file(s)] (609712873)
I20240511 12:20:01.266773  6304 dict_compiler.cc:128] D:\Personal\OneDrive\Programm\Rime\build\double_pinyin_flypy.schema.yaml (3217338634)
I20240511 12:20:01.266773  6304 reverse_lookup_dictionary.cc:33] loading reversedb: D:\Personal\OneDrive\Programm\Rime\build\rime_ice.reverse.bin
I20240511 12:20:01.266773  6304 dict_compiler.cc:299] building prism...
I20240511 12:20:01.266773  6304 table.cc:254] loading table file: D:\Personal\OneDrive\Programm\Rime\build\rime_ice.table.bin
I20240511 12:20:01.293701  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\double_pinyin_flypy.schema.yaml'.
I20240511 12:20:01.354998  6304 mapped_file.cc:59] creating file 'D:\Personal\OneDrive\Programm\Rime\build\double_pinyin_flypy.prism.bin'.
I20240511 12:20:01.355996  6304 mapped_file.cc:70] opening file for read/write access.
I20240511 12:20:01.355996  6304 prism.cc:117] saving prism file: D:\Personal\OneDrive\Programm\Rime\build\double_pinyin_flypy.prism.bin
I20240511 12:20:01.355996  6304 mapped_file.cc:118] shrinking file to fit data size. capacity: 24820
I20240511 12:20:01.355996  6304 mapped_file.cc:129] resize file to: 15160
I20240511 12:20:01.356993  6304 deployment_tasks.cc:377] dictionary 'rime_ice' is ready.
I20240511 12:20:01.360983  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\double_pinyin_flypy.schema.yaml'.
I20240511 12:20:01.386914  6304 deployment_tasks.cc:197] schema: melt_eng
I20240511 12:20:01.387912  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\melt_eng.schema.yaml'.
I20240511 12:20:01.391901  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\melt_eng.schema.yaml'.
I20240511 12:20:01.399879  6304 deployment_tasks.cc:421] source file changed: D:\Personal\OneDrive\Programm\Rime\default.yaml
I20240511 12:20:01.400876  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\melt_eng.schema.yaml'.
I20240511 12:20:01.403868  6304 auto_patch_config_plugin.cc:29] auto-patch melt_eng.schema:/__patch: melt_eng.custom:/patch?
W20240511 12:20:01.403868  6304 config_compiler.cc:527] circular dependencies detected in melt_eng.schema:
W20240511 12:20:01.403868  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: melt_eng.schema:
W20240511 12:20:01.424813  6304 config_compiler.cc:527] circular dependencies detected in melt_eng.schema:
W20240511 12:20:01.424813  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: melt_eng.schema:
I20240511 12:20:01.424813  6304 config_compiler.cc:537] resolved: Include(melt_eng.schema:algebra_common)
I20240511 12:20:01.424813  6304 config_compiler.cc:537] resolved: Include(melt_eng.schema:algebra_rime_ice)
I20240511 12:20:01.424813  6304 config_compiler.cc:537] resolved: PendingChild(melt_eng.schema:/speller/algebra)
I20240511 12:20:01.424813  6304 config_compiler.cc:537] resolved: PendingChild(melt_eng.schema:/speller)
I20240511 12:20:01.424813  6304 config_compiler.cc:537] resolved: PendingChild(melt_eng.schema:/algebra_rime_ice)
W20240511 12:20:01.425810  6304 config_compiler.cc:527] circular dependencies detected in melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: melt_eng.schema:
I20240511 12:20:01.425810  6304 config_compiler.cc:537] resolved: Include(melt_eng.schema:algebra_common)
I20240511 12:20:01.425810  6304 config_compiler.cc:537] resolved: PendingChild(melt_eng.schema:/algebra_double_pinyin)
W20240511 12:20:01.425810  6304 config_compiler.cc:527] circular dependencies detected in melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: melt_eng.schema:
I20240511 12:20:01.425810  6304 config_compiler.cc:537] resolved: Include(melt_eng.schema:algebra_common)
I20240511 12:20:01.425810  6304 config_compiler.cc:537] resolved: PendingChild(melt_eng.schema:/algebra_flypy)
W20240511 12:20:01.425810  6304 config_compiler.cc:527] circular dependencies detected in melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: melt_eng.schema:
I20240511 12:20:01.425810  6304 config_compiler.cc:537] resolved: Include(melt_eng.schema:algebra_common)
I20240511 12:20:01.425810  6304 config_compiler.cc:537] resolved: PendingChild(melt_eng.schema:/algebra_mspy)
W20240511 12:20:01.425810  6304 config_compiler.cc:527] circular dependencies detected in melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: melt_eng.schema:
I20240511 12:20:01.425810  6304 config_compiler.cc:537] resolved: Include(melt_eng.schema:algebra_common)
I20240511 12:20:01.425810  6304 config_compiler.cc:537] resolved: PendingChild(melt_eng.schema:/algebra_sogou)
W20240511 12:20:01.425810  6304 config_compiler.cc:527] circular dependencies detected in melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: melt_eng.schema:
I20240511 12:20:01.425810  6304 config_compiler.cc:537] resolved: Include(melt_eng.schema:algebra_common)
I20240511 12:20:01.425810  6304 config_compiler.cc:537] resolved: PendingChild(melt_eng.schema:/algebra_abc)
W20240511 12:20:01.425810  6304 config_compiler.cc:527] circular dependencies detected in melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: melt_eng.schema:
I20240511 12:20:01.425810  6304 config_compiler.cc:537] resolved: Include(melt_eng.schema:algebra_common)
I20240511 12:20:01.425810  6304 config_compiler.cc:537] resolved: PendingChild(melt_eng.schema:/algebra_ziguang)
W20240511 12:20:01.425810  6304 config_data.cc:69] nonexistent config file 'D:\Personal\OneDrive\Programm\Rime\melt_eng.custom.yaml'.
I20240511 12:20:01.425810  6304 config_compiler.cc:426] optional resource not loaded: melt_eng.custom
I20240511 12:20:01.425810  6304 config_compiler.cc:537] resolved: Patch(melt_eng.custom:patch <optional>)
I20240511 12:20:01.426807  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\default.yaml'.
I20240511 12:20:01.429800  6304 auto_patch_config_plugin.cc:29] auto-patch default:/__patch: default.custom:/patch?
I20240511 12:20:01.429800  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\default.custom.yaml'.
I20240511 12:20:01.430796  6304 config_compiler.cc:214] patching key_binder/bindings/+
I20240511 12:20:01.430796  6304 config_compiler.cc:214] patching menu
I20240511 12:20:01.430796  6304 config_compiler.cc:214] patching schema_list
I20240511 12:20:01.430796  6304 config_compiler.cc:537] resolved: Patch(default.custom:patch <optional>)
I20240511 12:20:01.430796  6304 legacy_preset_config_plugin.cc:26] interpreting key_binder/import_preset: default
I20240511 12:20:01.430796  6304 legacy_preset_config_plugin.cc:52] interpreting punctuator/import_preset: default
I20240511 12:20:01.430796  6304 legacy_preset_config_plugin.cc:65] interpreting recognizer/import_preset: default
I20240511 12:20:01.430796  6304 build_info_plugin.cc:27] resource 'melt_eng.custom' not loaded.
I20240511 12:20:01.430796  6304 config_data.cc:91] saving config file 'D:\Personal\OneDrive\Programm\Rime\build\melt_eng.schema.yaml'.
I20240511 12:20:01.434785  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\melt_eng.schema.yaml'.
I20240511 12:20:01.443761  6304 deployment_tasks.cc:360] preparing dictionary 'melt_eng'.
I20240511 12:20:01.444759  6304 dict_compiler.cc:81] compiling dictionary for D:\Personal\OneDrive\Programm\Rime\build\melt_eng.schema.yaml
I20240511 12:20:01.452737  6304 table.cc:254] loading table file: D:\Personal\OneDrive\Programm\Rime\build\melt_eng.table.bin
I20240511 12:20:01.453735  6304 prism.cc:76] loading prism file: D:\Personal\OneDrive\Programm\Rime\build\melt_eng.prism.bin
I20240511 12:20:01.453735  6304 prism.cc:106] found double array image of size 660992.
I20240511 12:20:01.453735  6304 dict_compiler.cc:126] D:\Personal\OneDrive\Programm\Rime\melt_eng.dict.yaml[3 file(s)] (1038382345)
I20240511 12:20:01.453735  6304 dict_compiler.cc:128] D:\Personal\OneDrive\Programm\Rime\build\melt_eng.schema.yaml (245046724)
I20240511 12:20:01.453735  6304 reverse_lookup_dictionary.cc:33] loading reversedb: D:\Personal\OneDrive\Programm\Rime\build\melt_eng.reverse.bin
I20240511 12:20:01.454732  6304 dict_compiler.cc:299] building prism...
I20240511 12:20:01.454732  6304 table.cc:254] loading table file: D:\Personal\OneDrive\Programm\Rime\build\melt_eng.table.bin
I20240511 12:20:01.489854  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\melt_eng.schema.yaml'.
I20240511 12:20:08.983268  6304 mapped_file.cc:59] creating file 'D:\Personal\OneDrive\Programm\Rime\build\melt_eng.prism.bin'.
I20240511 12:20:08.984264  6304 mapped_file.cc:70] opening file for read/write access.
I20240511 12:20:09.078579  6304 prism.cc:117] saving prism file: D:\Personal\OneDrive\Programm\Rime\build\melt_eng.prism.bin
I20240511 12:20:09.078579  6304 mapped_file.cc:118] shrinking file to fit data size. capacity: 10760004
I20240511 12:20:09.078579  6304 mapped_file.cc:129] resize file to: 7068744
I20240511 12:20:09.111169  6304 deployment_tasks.cc:377] dictionary 'melt_eng' is ready.
I20240511 12:20:09.112167  6304 deployment_tasks.cc:197] schema: radical_pinyin
I20240511 12:20:09.112167  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\radical_pinyin.schema.yaml'.
I20240511 12:20:09.114447  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\radical_pinyin.schema.yaml'.
I20240511 12:20:09.115936  6304 deployment_tasks.cc:421] source file changed: D:\Personal\OneDrive\Programm\Rime\default.yaml
I20240511 12:20:09.116936  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\radical_pinyin.schema.yaml'.
I20240511 12:20:09.118930  6304 auto_patch_config_plugin.cc:29] auto-patch radical_pinyin.schema:/__patch: radical_pinyin.custom:/patch?
I20240511 12:20:09.118930  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\default.yaml'.
I20240511 12:20:09.120925  6304 auto_patch_config_plugin.cc:29] auto-patch default:/__patch: default.custom:/patch?
I20240511 12:20:09.120925  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\default.custom.yaml'.
I20240511 12:20:09.120925  6304 config_compiler.cc:214] patching key_binder/bindings/+
I20240511 12:20:09.120925  6304 config_compiler.cc:214] patching menu
I20240511 12:20:09.120925  6304 config_compiler.cc:214] patching schema_list
I20240511 12:20:09.120925  6304 config_compiler.cc:537] resolved: Patch(default.custom:patch <optional>)
I20240511 12:20:09.120925  6304 config_compiler.cc:537] resolved: Include(default:/key_binder <optional>)
I20240511 12:20:09.120925  6304 config_compiler.cc:537] resolved: PendingChild(radical_pinyin.schema:/key_binder)
W20240511 12:20:09.120925  6304 config_compiler.cc:527] circular dependencies detected in radical_pinyin.schema:
W20240511 12:20:09.120925  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: radical_pinyin.schema:
I20240511 12:20:09.120925  6304 config_compiler.cc:537] resolved: Include(radical_pinyin.schema:algebra_flypy)
I20240511 12:20:09.120925  6304 config_compiler.cc:537] resolved: PendingChild(radical_pinyin.schema:/speller/algebra)
I20240511 12:20:09.120925  6304 config_compiler.cc:537] resolved: PendingChild(radical_pinyin.schema:/speller)
W20240511 12:20:09.120925  6304 config_data.cc:69] nonexistent config file 'D:\Personal\OneDrive\Programm\Rime\radical_pinyin.custom.yaml'.
I20240511 12:20:09.120925  6304 config_compiler.cc:426] optional resource not loaded: radical_pinyin.custom
I20240511 12:20:09.120925  6304 config_compiler.cc:537] resolved: Patch(radical_pinyin.custom:patch <optional>)
I20240511 12:20:09.120925  6304 build_info_plugin.cc:27] resource 'radical_pinyin.custom' not loaded.
I20240511 12:20:09.120925  6304 config_data.cc:91] saving config file 'D:\Personal\OneDrive\Programm\Rime\build\radical_pinyin.schema.yaml'.
I20240511 12:20:09.122920  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\radical_pinyin.schema.yaml'.
I20240511 12:20:09.125916  6304 deployment_tasks.cc:360] preparing dictionary 'radical_pinyin'.
I20240511 12:20:09.125916  6304 dict_compiler.cc:81] compiling dictionary for D:\Personal\OneDrive\Programm\Rime\build\radical_pinyin.schema.yaml
I20240511 12:20:09.133468  6304 table.cc:254] loading table file: D:\Personal\OneDrive\Programm\Rime\build\radical_pinyin.table.bin
I20240511 12:20:09.134467  6304 prism.cc:76] loading prism file: D:\Personal\OneDrive\Programm\Rime\build\radical_pinyin.prism.bin
I20240511 12:20:09.134467  6304 prism.cc:106] found double array image of size 81920.
I20240511 12:20:09.134467  6304 dict_compiler.cc:126] D:\Personal\OneDrive\Programm\Rime\radical_pinyin.dict.yaml[1 file(s)] (2800115411)
I20240511 12:20:09.134467  6304 dict_compiler.cc:128] D:\Personal\OneDrive\Programm\Rime\build\radical_pinyin.schema.yaml (715129015)
I20240511 12:20:09.134467  6304 reverse_lookup_dictionary.cc:33] loading reversedb: D:\Personal\OneDrive\Programm\Rime\build\radical_pinyin.reverse.bin
I20240511 12:20:09.135465  6304 dict_compiler.cc:299] building prism...
I20240511 12:20:09.135465  6304 table.cc:254] loading table file: D:\Personal\OneDrive\Programm\Rime\build\radical_pinyin.table.bin
I20240511 12:20:09.157651  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\radical_pinyin.schema.yaml'.
I20240511 12:20:10.501435  6304 mapped_file.cc:59] creating file 'D:\Personal\OneDrive\Programm\Rime\build\radical_pinyin.prism.bin'.
I20240511 12:20:10.501435  6304 mapped_file.cc:70] opening file for read/write access.
I20240511 12:20:10.524374  6304 prism.cc:117] saving prism file: D:\Personal\OneDrive\Programm\Rime\build\radical_pinyin.prism.bin
I20240511 12:20:10.524374  6304 mapped_file.cc:118] shrinking file to fit data size. capacity: 1469316
I20240511 12:20:10.524374  6304 mapped_file.cc:129] resize file to: 950152
I20240511 12:20:10.534346  6304 deployment_tasks.cc:377] dictionary 'radical_pinyin' is ready.
I20240511 12:20:10.535344  6304 deployment_tasks.cc:245] finished updating schemas: 3 success, 0 failure.
I20240511 12:20:10.535344  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\user.yaml'.
I20240511 12:20:10.536341  6304 config_data.cc:201] write: var/last_build_time
I20240511 12:20:10.536341  6304 config_data.cc:91] saving config file 'D:\Personal\OneDrive\Programm\Rime\user.yaml'.
I20240511 12:20:10.536341  6304 deployment_tasks.cc:583] clean up trash.
I20240511 12:20:10.539333  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\weasel.yaml'.
I20240511 12:20:10.547312  6304 deployment_tasks.cc:421] source file added: D:\Personal\OneDrive\Programm\Rime\weasel.custom.yaml
I20240511 12:20:10.548310  6304 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\weasel.yaml'.
I20240511 12:20:10.554293  6304 auto_patch_config_plugin.cc:29] auto-patch weasel:/__patch: weasel.custom:/patch?
I20240511 12:20:10.554293  6304 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\weasel.custom.yaml'.
I20240511 12:20:10.554293  6304 config_compiler.cc:214] patching app_options
I20240511 12:20:10.554293  6304 config_compiler.cc:214] patching style/+
I20240511 12:20:10.554293  6304 config_compiler.cc:537] resolved: Patch(weasel.custom:patch <optional>)
I20240511 12:20:10.555290  6304 config_data.cc:91] saving config file 'D:\Personal\OneDrive\Programm\Rime\build\weasel.yaml'.
