Log file created at: 2024/05/11 12:19:28
Running on machine: YBW
Running duration (h:mm:ss): 0:00:00
Log line format: [IWEF]yyyymmdd hh:mm:ss.uuuuuu threadid file:line] msg
I20240511 12:19:28.096165  7424 core_module.cc:20] registering core components.
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: config_builder
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: config
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: schema
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: user_config
I20240511 12:19:28.098160  7424 dict_module.cc:25] registering components from module 'dict'.
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: tabledb
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: stabledb
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: plain_userdb
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: userdb
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: corrector
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: dictionary
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: reverse_lookup_dictionary
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: user_dictionary
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: userdb_recovery_task
I20240511 12:19:28.098160  7424 levers_module.cc:22] registering components from module 'levers'.
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: detect_modifications
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: installation_update
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: workspace_update
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: schema_update
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: config_file_update
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: prebuild_all_schemas
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: user_dict_upgrade
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: cleanup_trash
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: user_dict_sync
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: backup_config_files
I20240511 12:19:28.098160  7424 registry.cc:14] registering component: clean_old_log_files
I20240511 12:19:37.712437  7424 deployment_tasks.cc:85] updating rime installation info.
I20240511 12:19:37.712437  7424 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\installation.yaml'.
I20240511 12:19:37.712437  7424 deployment_tasks.cc:103] installation info exists. installation id: 2f2594ca-3d2a-4e7d-a7e6-2dcf30c4fd38
I20240511 12:19:37.712437  7424 deployment_tasks.cc:114] sync dir: D:\Personal\OneDrive\Programm\Rime\sync
I20240511 12:19:37.712437  7424 deployment_tasks.cc:116] previous distribution: Weasel
I20240511 12:19:37.712437  7424 deployment_tasks.cc:119] previous distribution version: 0.15.1.0
I20240511 12:19:37.712437  7424 deployment_tasks.cc:122] previous Rime version: 1.11.0
I20240511 12:19:37.712437  7424 deployment_tasks.cc:165] updating workspace.
I20240511 12:19:37.713435  7424 config_data.cc:72] loading config file 'D:\Software\Rime\weasel-0.15.1\data\default.yaml'.
I20240511 12:19:37.714432  7424 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\default.yaml'.
I20240511 12:19:37.717424  7424 config_data.cc:72] loading config file 'D:\Personal\OneDrive\Programm\Rime\build\default.yaml'.
I20240511 12:19:37.719419  7424 deployment_tasks.cc:421] source file changed: D:\Personal\OneDrive\Programm\Rime\default.custom.yaml
