Log file created at: 2024/05/11 12:20:00
Running on machine: YBW
Running duration (h:mm:ss): 0:00:00
Log line format: [IWEF]yyyymmdd hh:mm:ss.uuuuuu threadid file:line] msg
W20240511 12:20:00.420612  6304 config_data.cc:69] nonexistent config file 'D:\Personal\OneDrive\Programm\Rime\symbols_caps_v.custom.yaml'.
W20240511 12:20:01.403868  6304 config_compiler.cc:527] circular dependencies detected in melt_eng.schema:
W20240511 12:20:01.403868  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: melt_eng.schema:
W20240511 12:20:01.424813  6304 config_compiler.cc:527] circular dependencies detected in melt_eng.schema:
W20240511 12:20:01.424813  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:527] circular dependencies detected in melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:527] circular dependencies detected in melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:527] circular dependencies detected in melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:527] circular dependencies detected in melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:527] circular dependencies detected in melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:527] circular dependencies detected in melt_eng.schema:
W20240511 12:20:01.425810  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: melt_eng.schema:
W20240511 12:20:01.425810  6304 config_data.cc:69] nonexistent config file 'D:\Personal\OneDrive\Programm\Rime\melt_eng.custom.yaml'.
W20240511 12:20:09.120925  6304 config_compiler.cc:527] circular dependencies detected in radical_pinyin.schema:
W20240511 12:20:09.120925  6304 config_compiler.cc:367] accessing blocking node with unresolved dependencies: radical_pinyin.schema:
W20240511 12:20:09.120925  6304 config_data.cc:69] nonexistent config file 'D:\Personal\OneDrive\Programm\Rime\radical_pinyin.custom.yaml'.
